0.1 2.2066
0.2	1.5503
0.3	1.3620
0.4	1.2754
0.5	1.2267
0.6	1.1961
0.7	1.1754
0.8	1.1608
0.9	1.1499
1.0	1.1417
1.2	1.1303
1.4	1.1229
1.6	1.1178
1.8	1.1142
2.0	1.1115
2.2	1.1095
2.4	1.1079
2.6	1.1066
2.8	1.1055
3.0	1.1047
3.2	1.1039
3.4	1.1033
3.6	1.1028
3.8	1.1023
4.0	1.1019
4.5	1.1011
5.0	1.1005
5.5	1.0999
6.0	1.0995
6.5	1.0991
7.0	1.0988
7.5	1.0985
8.0	1.0983
9.0	1.0978
10.0	1.0974
11.0	1.0970
12.0	1.0967
13.0	1.0963
14.0	1.0960
16.0	1.0955
18.0	1.0949
20.0	1.0944
25.0	1.0931
30.0	1.0919
35.0	1.0908
40.0	1.0897
45.0	1.0886
50.0	1.0875
